# Force coefficients
# liftDir         : (-1.7364796312e-01 0.0000000000e+00 9.8480779084e-01)
# dragDir         : (9.8480779084e-01 0.0000000000e+00 1.7364796312e-01)
# pitchAxis       : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 5.2159694500e+01
# lRef            : 1.0000000000e+00
# Aref            : 1.0000000000e+00
# CofR            : (2.0000000000e-01 0.0000000000e+00 0.0000000000e+00)
# Time            	Cm                	Cd                	Cl                	Cl(f)             	Cl(r)             
62                	-1.6441162127e-01	1.5499191539e-01	1.0360326033e+00	3.5360468040e-01	6.8242792294e-01
63                	-1.6891948753e-01	1.5757208786e-01	1.0427946621e+00	3.5247784351e-01	6.9031681858e-01
64                	-1.7137751279e-01	1.5878540383e-01	1.0502492748e+00	3.5374712463e-01	6.9650215020e-01
65                	-1.7585705863e-01	1.6074316476e-01	1.0609027939e+00	3.5459433832e-01	7.0630845558e-01
66                	-1.8244327884e-01	1.6422956927e-01	1.0821298728e+00	3.5862165755e-01	7.2350821524e-01
67                	-1.9014283217e-01	1.6772288378e-01	1.0995514208e+00	3.5963287824e-01	7.3991854259e-01
68                	-1.9717924768e-01	1.7018847873e-01	1.1051470207e+00	3.5539426265e-01	7.4975275800e-01
69                	-1.9913200413e-01	1.6986491325e-01	1.1003758798e+00	3.5105593577e-01	7.4931994403e-01
70                	-2.0076606417e-01	1.6963831292e-01	1.0944668762e+00	3.4646737392e-01	7.4799950226e-01
71                	-2.0269038848e-01	1.7035790610e-01	1.0952730868e+00	3.4494615491e-01	7.5032693187e-01
72                	-2.0617877807e-01	1.7234974034e-01	1.1022025087e+00	3.4492247628e-01	7.5728003242e-01
73                	-2.0961191661e-01	1.7364260608e-01	1.1024852427e+00	3.4163070474e-01	7.6085453796e-01
74                	-2.0921057575e-01	1.7244823652e-01	1.0951693368e+00	3.3837409267e-01	7.5679524418e-01
75                	-2.0785360469e-01	1.7007474244e-01	1.0789860267e+00	3.3163940864e-01	7.4734661801e-01
76                	-2.0427619904e-01	1.6727317624e-01	1.0660181400e+00	3.2873287096e-01	7.3728526905e-01
77                	-2.0254082746e-01	1.6583348964e-01	1.0557205949e+00	3.2531947000e-01	7.3040112492e-01
78                	-2.0044184474e-01	1.6454667757e-01	1.0468491488e+00	3.2298272968e-01	7.2386641916e-01
