# Force coefficients
# liftDir         : (0.0000000000e+00 0.0000000000e+00 1.0000000000e+00)
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 2.5000000000e+02
# lRef            : 1.0000000000e+00
# Aref            : 1.0000000000e+00
# CofR            : (2.0000000000e-01 0.0000000000e+00 0.0000000000e+00)
# Time            	Cm                	Cd                	Cl                	Cl(f)             	Cl(r)             
68                	-3.2688378073e-04	1.0923748970e-02	1.6219976550e-03	4.8411504676e-04	1.1378826082e-03
69                	-3.2211691161e-04	1.0952333266e-02	1.6142439999e-03	4.8500508835e-04	1.1292389116e-03
70                	-3.1318099660e-04	1.0997603812e-02	1.5887410449e-03	4.8118952585e-04	1.1075515190e-03
71                	-3.0205322059e-04	1.1016833226e-02	1.5614548497e-03	4.7867420427e-04	1.0827806455e-03
72                	-2.9097942039e-04	1.0997388175e-02	1.5396425960e-03	4.7884187760e-04	1.0608007184e-03
73                	-2.8202799168e-04	1.0951190247e-02	1.5235188584e-03	4.7973143754e-04	1.0437874209e-03
74                	-2.7556776214e-04	1.0911234215e-02	1.5058339730e-03	4.7734922437e-04	1.0284847486e-03
75                	-2.7115958347e-04	1.0894858759e-02	1.4872534011e-03	4.7246711708e-04	1.0147862840e-03
76                	-2.6733627277e-04	1.0895521513e-02	1.4729582131e-03	4.6914283377e-04	1.0038153793e-03
77                	-2.6275119285e-04	1.0910265056e-02	1.4617032562e-03	4.6810043526e-04	9.9360282096e-04
78                	-2.5652269872e-04	1.0920085906e-02	1.4456809305e-03	4.6631776651e-04	9.7936316395e-04
79                	-2.4841301529e-04	1.0904850622e-02	1.4244261041e-03	4.6380003675e-04	9.6062606733e-04
80                	-2.3865542558e-04	1.0880216312e-02	1.3994196801e-03	4.6105441447e-04	9.3836526562e-04
81                	-2.2724895688e-04	1.0860003357e-02	1.3669523337e-03	4.5622720996e-04	9.1072512371e-04
82                	-2.1720494533e-04	1.0845635237e-02	1.3330340281e-03	4.4931206872e-04	8.8372195937e-04
83                	-2.1734960500e-04	1.0841597855e-02	1.3312082811e-03	4.4825453555e-04	8.8295374556e-04
84                	-2.1330218457e-04	1.0818681543e-02	1.3140105488e-03	4.4370308982e-04	8.7030745896e-04
85                	-2.1154678493e-04	1.0811222512e-02	1.3090500468e-03	4.4297823845e-04	8.6607180831e-04
86                	-2.0758595238e-04	1.0799586400e-02	1.2991985308e-03	4.4201331302e-04	8.5718521778e-04
87                	-2.0070823063e-04	1.0789546388e-02	1.2810349654e-03	4.3980925207e-04	8.4122571332e-04
88                	-1.9148686453e-04	1.0791210455e-02	1.2533302412e-03	4.3517825609e-04	8.1815198515e-04
89                	-1.8252161934e-04	1.0809544855e-02	1.2209187998e-03	4.2793778056e-04	7.9298101924e-04
90                	-1.7697188939e-04	1.0835220428e-02	1.1927279486e-03	4.1939208490e-04	7.7333586368e-04
91                	-1.7604010640e-04	1.0847983154e-02	1.1753478083e-03	4.1163379773e-04	7.6371401054e-04
92                	-1.7773945598e-04	1.0832199338e-02	1.1672154835e-03	4.0586828579e-04	7.6134719776e-04
93                	-1.7849318978e-04	1.0785262911e-02	1.1609322703e-03	4.0197294535e-04	7.5895932490e-04
94                	-1.7515894144e-04	1.0717602313e-02	1.1487883752e-03	3.9923524616e-04	7.4955312903e-04
95                	-1.6667321313e-04	1.0650483071e-02	1.1267339800e-03	3.9669377688e-04	7.3004020314e-04
96                	-1.5451072244e-04	1.0603616136e-02	1.0955346418e-03	3.9325659847e-04	7.0227804336e-04
97                	-1.4125608084e-04	1.0587341697e-02	1.0578918462e-03	3.8768984225e-04	6.7020200394e-04
98                	-1.3039728058e-04	1.0605078288e-02	1.0180785594e-03	3.7864199911e-04	6.3943656028e-04
99                	-1.2575040900e-04	1.0709191134e-02	9.4304543932e-04	3.4577231066e-04	5.9727312866e-04
100               	-1.4163557056e-04	1.0664577257e-02	9.6826249810e-04	3.4249567850e-04	6.2576681961e-04
101               	-1.5611720317e-04	1.0541135862e-02	1.0293674069e-03	3.5856650030e-04	6.7080090665e-04
102               	-1.5689843395e-04	1.0462982118e-02	1.0744021372e-03	3.8030263467e-04	6.9409950257e-04
103               	-1.3800895183e-04	1.0528396234e-02	1.0281139094e-03	3.7604800289e-04	6.5206590656e-04
104               	-1.2485470516e-04	1.0603113074e-02	9.5331824786e-04	3.5180441877e-04	6.0151382909e-04
105               	-1.2209200878e-04	1.0624409741e-02	8.9947958190e-04	3.2764778217e-04	5.7183179974e-04
106               	-1.2664808258e-04	1.0584625420e-02	8.8661956623e-04	3.1666170054e-04	5.6995786569e-04
107               	-1.3306231294e-04	1.0514807387e-02	9.0960615514e-04	3.2174076463e-04	5.8786539050e-04
108               	-1.3486327598e-04	1.0469641802e-02	9.3449274314e-04	3.3238309559e-04	6.0210964755e-04
109               	-1.3067883883e-04	1.0468222247e-02	9.2911690955e-04	3.3387961594e-04	5.9523729360e-04
110               	-1.2494374017e-04	1.0486401693e-02	9.0106587116e-04	3.2558919541e-04	5.7547667575e-04
111               	-1.1972776731e-04	1.0506173537e-02	8.6135614718e-04	3.1095030628e-04	5.5040584091e-04
112               	-1.1763744911e-04	1.0508383519e-02	8.3177546851e-04	2.9825028515e-04	5.3352518336e-04
113               	-1.1749080037e-04	1.0486254446e-02	8.2120461399e-04	2.9311150662e-04	5.2809310736e-04
114               	-1.1701370009e-04	1.0460068734e-02	8.1830274332e-04	2.9213767157e-04	5.2616507175e-04
115               	-1.1575632440e-04	1.0444086834e-02	8.1322278407e-04	2.9085506764e-04	5.2236771643e-04
116               	-1.1450386348e-04	1.0442113361e-02	8.0423982315e-04	2.8761604810e-04	5.1662377505e-04
117               	-1.1425646601e-04	1.0441280452e-02	7.9430967657e-04	2.8289837228e-04	5.1141130429e-04
118               	-1.1454828671e-04	1.0430765785e-02	7.8529737214e-04	2.7810039936e-04	5.0719697278e-04
119               	-1.1367692637e-04	1.0417133621e-02	7.7332320267e-04	2.7298467496e-04	5.0033852771e-04
120               	-1.1113684866e-04	1.0409752738e-02	7.5536413255e-04	2.6654521761e-04	4.8881891494e-04
121               	-1.0837112950e-04	1.0408441689e-02	7.3614261500e-04	2.5970017800e-04	4.7644243700e-04
122               	-1.0767166912e-04	1.0403150744e-02	7.2570969419e-04	2.5518317798e-04	4.7052651622e-04
123               	-1.0900104064e-04	1.0391875317e-02	7.2403239633e-04	2.5301515752e-04	4.7101723881e-04
124               	-1.1024501906e-04	1.0381209028e-02	7.2172666607e-04	2.5061831398e-04	4.7110835209e-04
125               	-1.0989399623e-04	1.0375767646e-02	7.1229638962e-04	2.4625419858e-04	4.6604219104e-04
